placename	longitude	latitude	file 	query
Neno	34.65343	-15.39805	Food_Security_and_Agriculture_Project_List_from_MoAFS_March_2011.csv	Neno
Ngabu	35.21659	-16.96535	18_pdf.txt	Ngabu
Ngokwe	35.61667	-14.75	42_pdf.txt	Ngokwe
Ngoma	34.2	-13.96667	149_pdf.txt	Ngoma
Ngoma	34.2	-13.96667	93_pdf.txt	Ngoma
Ngomano	35.7	-14.81667	IGPWP_Roads_project_sites0.csv	Ngomano
Ngomano	35.7	-14.81667	IGPWP_Roads_project_sites1.csv	Ngomano
Ngomano	35.7	-14.81667	IGPWP_Roads_project_sites.csv	Ngomano
Ngona	34.41667	-14.35	IGPWP_Forestry_Project_sites0.csv	Ngona
Ngona	34.41667	-14.35	IGPWP_Forestry_Project_sites1.csv	Ngona
Ngona	34.41667	-14.35	IGPWP_Forestry_Project_sites.csv	Ngona
Ngoni	35.23333	-16.95	36_pdf.txt	Ngoni
Ngozi	35.68333	-15.65	36_pdf.txt	Ngozi
Njuli	35.15	-15.65	110_pdf.txt	Njuli
Njuli	35.15	-15.65	138_pdf.txt	Njuli
Nkata	35.38338	-14.57437	206_pdf.txt	Nkata
Nkata	35.38338	-14.57437	53_pdf.txt	Nkata
Nkhata	34.33333	-11.61667	105_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	162_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	168_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	207_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	236_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	246_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	247_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	251_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	3_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	42_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	54_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	6_pdf.txt	Nkhata
Nkhata	34.33333	-11.61667	84_pdf.txt	Nkhata
Nkhoma	33.4	-12.71667	139_pdf.txt	Nkhoma
Nkhoma	33.4	-12.71667	18_pdf.txt	Nkhoma
Nkhoma	33.4	-12.71667	239_pdf.txt	Nkhoma
Nkhoma	33.4	-12.71667	241_pdf.txt	Nkhoma
Nkhoma	33.4	-12.71667	255_pdf.txt	Nkhoma
Nkhoma	33.4	-12.71667	32_pdf.txt	Nkhoma
Nkhoma	33.4	-12.71667	89_pdf.txt	Nkhoma
Nkhoma	33.4	-12.71667	Food_Security_and_Agriculture_Project_List_from_MoAFS_March_2011.csv	Nkhoma
Nkhotakota	34.29614	-12.92744	126_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	139_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	169_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	186_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	222_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	235_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	236_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	246_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	247_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	254_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	32_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	36_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	39_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	3_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	67_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	89_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	96_pdf.txt	Nkhotakota
Nkhotakota	34.29614	-12.92744	Food_Security_and_Agriculture_Project_List_from_MoAFS_March_2011.csv	Nkhotakota
Nkhwangwa	34.86667	-16.48333	IGPWP_Forestry_Project_sites0.csv	Nkhwangwa
Nkhwangwa	34.86667	-16.48333	IGPWP_Forestry_Project_sites1.csv	Nkhwangwa
Nkhwangwa	34.86667	-16.48333	IGPWP_Forestry_Project_sites.csv	Nkhwangwa
Nkhwangwa	34.86667	-16.48333	IGPWP_Roads_project_sites0.csv	Nkhwangwa
Nkhwangwa	34.86667	-16.48333	IGPWP_Roads_project_sites1.csv	Nkhwangwa
Nkhwangwa	34.86667	-16.48333	IGPWP_Roads_project_sites.csv	Nkhwangwa
Nkopola	35.1322	-14.31882	16_pdf.txt	Nkopola
Nkwazi	33.22934	-13.92249	206_pdf.txt	Nkwazi
Nkwazi	33.22934	-13.92249	53_pdf.txt	Nkwazi
Nsanama	35.51667	-14.96667	203_pdf.txt	Nsanama
Nsanama	35.51667	-14.96667	204_pdf.txt	Nsanama
Nsanama	35.51667	-14.96667	205_pdf.txt	Nsanama
Nsanama	35.51667	-14.96667	215_pdf.txt	Nsanama
Nsanama	35.51667	-14.96667	28_pdf.txt	Nsanama
Nsanama	35.51667	-14.96667	42_pdf.txt	Nsanama
Nsanama	35.51667	-14.96667	52_pdf.txt	Nsanama
Nsanje	35.14762	-15.8637	122_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	130_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	139_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	149_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	176_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	179_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	185_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	18_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	215_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	235_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	236_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	246_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	247_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	253_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	2_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	3_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	41_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	42_jpg.txt	Nsanje
Nsanje	35.14762	-15.8637	42_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	52_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	5_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	80_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	86_jpg.txt	Nsanje
Nsanje	35.14762	-15.8637	89_pdf.txt	Nsanje
Nsanje	35.14762	-15.8637	93_pdf.txt	Nsanje
