"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","NL_NAME_3","VARNAME_3","TYPE_3","ENGTYPE_3"
43954,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",101,"n.a. (2194)","","","Unknown","Unknown"
43955,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",102,"n.a. (2209)","","","Unknown","Unknown"
43956,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",103,"n.a. (2216)","","","Unknown","Unknown"
43957,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",104,"n.a. (2226)","","","Unknown","Unknown"
43958,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",105,"n.a. (2232)","","","Unknown","Unknown"
43959,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",106,"n.a. (2240)","","","Unknown","Unknown"
43960,135,"MWI","Malawi",2,"Blantyre",5,"TA Chigaru",107,"n.a. (2250)","","","Unknown","Unknown"
43961,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",108,"n.a. (2267)","","","Unknown","Unknown"
43962,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",109,"n.a. (2276)","","","Unknown","Unknown"
43963,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",110,"n.a. (2284)","","","Unknown","Unknown"
43964,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",111,"n.a. (2301)","","","Unknown","Unknown"
43965,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",112,"n.a. (2305)","","","Unknown","Unknown"
43966,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",113,"n.a. (2323)","","","Unknown","Unknown"
43967,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",114,"n.a. (2338)","","","Unknown","Unknown"
43968,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",115,"n.a. (2347)","","","Unknown","Unknown"
43969,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",116,"n.a. (2351)","","","Unknown","Unknown"
43970,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",117,"n.a. (2366)","","","Unknown","Unknown"
43971,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",118,"n.a. (2377)","","","Unknown","Unknown"
43972,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",119,"n.a. (2383)","","","Unknown","Unknown"
43973,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",120,"n.a. (2386)","","","Unknown","Unknown"
43974,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",121,"n.a. (2394)","","","Unknown","Unknown"
43975,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",122,"n.a. (2402)","","","Unknown","Unknown"
43976,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",123,"n.a. (2409)","","","Unknown","Unknown"
43977,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",124,"n.a. (2421)","","","Unknown","Unknown"
43978,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",125,"n.a. (2433)","","","Unknown","Unknown"
43979,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",126,"n.a. (2454)","","","Unknown","Unknown"
43980,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",127,"n.a. (2596)","","","Unknown","Unknown"
43981,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",128,"n.a. (2598)","","","Unknown","Unknown"
43982,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",129,"n.a. (2601)","","","Unknown","Unknown"
43983,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",130,"n.a. (2602)","","","Unknown","Unknown"
43984,135,"MWI","Malawi",2,"Blantyre",6,"TA Kapeni",131,"n.a. (2635)","","","Unknown","Unknown"
43985,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",132,"n.a. (2245)","","","Unknown","Unknown"
43986,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",133,"n.a. (2264)","","","Unknown","Unknown"
43987,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",134,"n.a. (2269)","","","Unknown","Unknown"
43988,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",135,"n.a. (2304)","","","Unknown","Unknown"
43989,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",136,"n.a. (2316)","","","Unknown","Unknown"
43990,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",137,"n.a. (2339)","","","Unknown","Unknown"
43991,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",138,"n.a. (2355)","","","Unknown","Unknown"
43992,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",139,"n.a. (2372)","","","Unknown","Unknown"
43993,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",140,"n.a. (2404)","","","Unknown","Unknown"
43994,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",141,"n.a. (2410)","","","Unknown","Unknown"
43995,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",142,"n.a. (2435)","","","Unknown","Unknown"
43996,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",143,"n.a. (2446)","","","Unknown","Unknown"
43997,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",144,"n.a. (2447)","","","Unknown","Unknown"
43998,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",145,"n.a. (2456)","","","Unknown","Unknown"
43999,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",146,"n.a. (2466)","","","Unknown","Unknown"
44000,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",147,"n.a. (2478)","","","Unknown","Unknown"
44001,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",148,"n.a. (2515)","","","Unknown","Unknown"
44002,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",149,"n.a. (2529)","","","Unknown","Unknown"
44003,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",150,"n.a. (2537)","","","Unknown","Unknown"
44004,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",151,"n.a. (2545)","","","Unknown","Unknown"
44005,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",152,"n.a. (2550)","","","Unknown","Unknown"
44006,135,"MWI","Malawi",2,"Blantyre",7,"TA Kuntaja",153,"n.a. (2556)","","","Unknown","Unknown"
44007,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",154,"n.a. (2288)","","","Unknown","Unknown"
44008,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",155,"n.a. (2341)","","","Unknown","Unknown"
44009,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",156,"n.a. (2342)","","","Unknown","Unknown"
44010,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",157,"n.a. (2380)","","","Unknown","Unknown"
44011,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",158,"n.a. (2395)","","","Unknown","Unknown"
44012,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",159,"n.a. (2418)","","","Unknown","Unknown"
44013,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",160,"n.a. (2425)","","","Unknown","Unknown"
44014,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",161,"n.a. (2427)","","","Unknown","Unknown"
44015,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",162,"n.a. (2428)","","","Unknown","Unknown"
44016,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",163,"n.a. (2439)","","","Unknown","Unknown"
44017,135,"MWI","Malawi",2,"Blantyre",8,"TA Kunthembwe",164,"n.a. (2485)","","","Unknown","Unknown"
44018,135,"MWI","Malawi",2,"Blantyre",9,"TA Lundu",165,"n.a. (2147)","","","Unknown","Unknown"
44019,135,"MWI","Malawi",2,"Blantyre",9,"TA Lundu",166,"n.a. (2165)","","","Unknown","Unknown"
44020,135,"MWI","Malawi",2,"Blantyre",9,"TA Lundu",167,"n.a. (2191)","","","Unknown","Unknown"
44021,135,"MWI","Malawi",2,"Blantyre",9,"TA Lundu",168,"n.a. (2206)","","","Unknown","Unknown"
44022,135,"MWI","Malawi",2,"Blantyre",9,"TA Lundu",169,"n.a. (2218)","","","Unknown","Unknown"
44023,135,"MWI","Malawi",2,"Blantyre",9,"TA Lundu",170,"n.a. (2233)","","","Unknown","Unknown"
44024,135,"MWI","Malawi",2,"Blantyre",9,"TA Lundu",171,"n.a. (2248)","","","Unknown","Unknown"
44025,135,"MWI","Malawi",2,"Blantyre",9,"TA Lundu",172,"n.a. (2274)","","","Unknown","Unknown"
44026,135,"MWI","Malawi",2,"Blantyre",9,"TA Lundu",173,"n.a. (2278)","","","Unknown","Unknown"
44027,135,"MWI","Malawi",2,"Blantyre",10,"TA Machinjili",174,"n.a. (2397)","","","Unknown","Unknown"
44028,135,"MWI","Malawi",2,"Blantyre",10,"TA Machinjili",175,"n.a. (2408)","","","Unknown","Unknown"
44029,135,"MWI","Malawi",2,"Blantyre",10,"TA Machinjili",176,"n.a. (2429)","","","Unknown","Unknown"
44030,135,"MWI","Malawi",2,"Blantyre",10,"TA Machinjili",177,"n.a. (2432)","","","Unknown","Unknown"
44031,135,"MWI","Malawi",2,"Blantyre",10,"TA Machinjili",178,"n.a. (2445)","","","Unknown","Unknown"
44032,135,"MWI","Malawi",2,"Blantyre",10,"TA Machinjili",179,"n.a. (2453)","","","Unknown","Unknown"
44033,135,"MWI","Malawi",2,"Blantyre",10,"TA Machinjili",180,"n.a. (2457)","","","Unknown","Unknown"
44034,135,"MWI","Malawi",2,"Blantyre",10,"TA Machinjili",181,"n.a. (2623)","","","Unknown","Unknown"
44035,135,"MWI","Malawi",2,"Blantyre",11,"TA Makata",182,"n.a. (2275)","","","Unknown","Unknown"
44036,135,"MWI","Malawi",2,"Blantyre",11,"TA Makata",183,"n.a. (2310)","","","Unknown","Unknown"
44037,135,"MWI","Malawi",2,"Blantyre",11,"TA Makata",184,"n.a. (2317)","","","Unknown","Unknown"
