"PID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","NL_NAME_2","VARNAME_2","TYPE_2","ENGTYPE_2"
21384,135,"MWI","Malawi",16,"Mzimba",146,"Mzimba Boma","","","Boma","Headquarter"
21385,135,"MWI","Malawi",16,"Mzimba",147,"Mzuzu City","","","City","City"
21386,135,"MWI","Malawi",16,"Mzimba",148,"SC Jaravikuba Munthali","","","Sub-chief","Sub-chief"
21387,135,"MWI","Malawi",16,"Mzimba",149,"SC Kampingo Sibande","","","Sub-chief","Sub-chief"
21388,135,"MWI","Malawi",16,"Mzimba",150,"SC Khosolo Gwaza Jere","","","Sub-chief","Sub-chief"
21389,135,"MWI","Malawi",16,"Mzimba",151,"TA Chindi","","","Traditional Authority","Traditional Authority"
21390,135,"MWI","Malawi",16,"Mzimba",152,"TA M'Mbelwa","","","Traditional Authority","Traditional Authority"
21391,135,"MWI","Malawi",16,"Mzimba",153,"TA Mabulabo","","","Traditional Authority","Traditional Authority"
21392,135,"MWI","Malawi",16,"Mzimba",154,"TA Mpherembe","","","Traditional Authority","Traditional Authority"
21393,135,"MWI","Malawi",16,"Mzimba",155,"TA Mtwalo","","","Traditional Authority","Traditional Authority"
21394,135,"MWI","Malawi",16,"Mzimba",156,"TA Mzikubola","","","Traditional Authority","Traditional Authority"
21395,135,"MWI","Malawi",16,"Mzimba",157,"TA Mzukuzuku","","","Traditional Authority","Traditional Authority"
21396,135,"MWI","Malawi",16,"Mzimba",158,"Vwaza Marsh Game Reserve - Mzimba","","","Reserve","Reserve"
21397,135,"MWI","Malawi",17,"Nkhata Bay",159,"Lake Malawi","","","Water body","Water body"
21398,135,"MWI","Malawi",17,"Nkhata Bay",160,"SC Fukamalaza","","","Sub-chief","Sub-chief"
21399,135,"MWI","Malawi",17,"Nkhata Bay",161,"SC Malanda","","","Sub-chief","Sub-chief"
21400,135,"MWI","Malawi",17,"Nkhata Bay",162,"SC Nyaluwanga","","","Sub-chief","Sub-chief"
21401,135,"MWI","Malawi",17,"Nkhata Bay",163,"SC Zilakoma","","","Sub-chief","Sub-chief"
21402,135,"MWI","Malawi",17,"Nkhata Bay",164,"TA Fukamapiri","","","Traditional Authority","Traditional Authority"
21403,135,"MWI","Malawi",17,"Nkhata Bay",165,"TA Kabunduli","","","Traditional Authority","Traditional Authority"
21404,135,"MWI","Malawi",17,"Nkhata Bay",166,"TA Malenga Mzoma","","","Traditional Authority","Traditional Authority"
21405,135,"MWI","Malawi",17,"Nkhata Bay",167,"TA Musisya","","","Traditional Authority","Traditional Authority"
21406,135,"MWI","Malawi",17,"Nkhata Bay",168,"TA Timbiri","","","Traditional Authority","Traditional Authority"
21407,135,"MWI","Malawi",18,"Nkhotakota",169,"Lake Malawi","","","Water body","Water body"
21408,135,"MWI","Malawi",18,"Nkhotakota",170,"Nkhotakota Boma","","","Boma","Headquarter"
21409,135,"MWI","Malawi",18,"Nkhotakota",171,"Nkhotakota Game Reserve","","","Reserve","Reserve"
21410,135,"MWI","Malawi",18,"Nkhotakota",172,"SC Kafuzila","","","Sub-chief","Sub-chief"
21411,135,"MWI","Malawi",18,"Nkhotakota",173,"SC Mphonde","","","Sub-chief","Sub-chief"
21412,135,"MWI","Malawi",18,"Nkhotakota",174,"SC Mwansambo","","","Sub-chief","Sub-chief"
