project_ID,latitude,longitude,precision_code,geoname_ID,geoname
872261239880,-14.392955,35.346577,3,927245,Mangochi District
872261239880,-15.048394,35.059102,3,1105840,Balaka District
872261239880,-14.945831,35.573667,3,927642,Machinga District
872261239885,,,6,927384,Republic of Malawi
872261249746,,,6,927384,Republic of Malawi
872261249785,,,6,927384,Republic of Malawi
872261249841,-15.430074,35.418291,3,923292,Zomba District
872261249841,-14.392955,35.346577,3,927245,Mangochi District
872261249841,-15.048394,35.059102,3,1105840,Balaka District
872261249841,-15.666667,35.666667,3,1105842,Phalombe District
872261249849,-15.430074,35.418291,3,923292,Zomba District
872261249849,-14.392955,35.346577,3,927245,Mangochi District
872261249849,-15.048394,35.059102,3,1105840,Balaka District
872261249849,-15.6666667,35.6666667,3,1105842,Phalombe District
872261249859,-16.75,35.166667,3,924567,Nsanje District
872261249859,,,6,927384,Republic of Malawi
872261249859,-16.105828,35.150601,3,930283,Thyolo District
872261249859,-16.166667,34.75,3,931067,Chikwawa District
872261249865,,,6,927384,Republic of Malawi
872261249889,-14.945831,35.573667,3,927642,Machinga District
872261249889,-14.019624,33.68407,3,927964,Lilongwe District
872261249889,-13,33.4166667,3,928531,Kasungu District
872261249889,-14.945831,35.573667,3,927642,Machinga District
872261249889,-14.019624,33.68407,3,927964,Lilongwe District
872261249889,-13,33.416667,3,928531,Kasungu District
872261249894,,,8,927384,Republic of Malawi
872261249895,-15.5,35,4,923817,Southern Region
872261249895,-11,34,4,924591,Northern Region
872261249895,,,8,927384,Republic of Malawi
872261249895,-13.5,34,4,931597,Central Region
872261249898,-13,33.4166667,3,928531,Kasungu District
872261249898,-13.295737,33.907981,3,924490,Ntchisi District
872261249898,-13.600977,33.823778,3,929975,Dowa District
872261249898,-13.295737,33.907981,3,924490,Ntchisi District
872261249898,-13,33.416667,3,928531,Kasungu District
872261249898,-13.600977,33.823778,3,929975,Dowa District
872261249899,-13.719594,34.401842,3,924053,Salima District
872261249899,-12.804172,34.082977,3,924703,Nkhotakota District
872261249899,-14.019624,33.68407,3,927964,Lilongwe District
872261249900,,,6,927384,Republic of Malawi
872261249902,,,8,927384,Republic of Malawi
872261259749,,,8,927384,Republic of Malawi
872261259789,-15.633374,34.516816,3,925595,Mwanza District
872261259789,-15.430074,35.418291,3,923292,Zomba District
872261259789,-14.75,34.75,3,925072,Ntcheu District
872261259789,-14.019624,33.68407,3,927964,Lilongwe District
872261259789,-9.927265,33.425412,3,235749,Chitipa District
872261259789,-10.111532,33.881507,3,928657,Karonga District
872261259789,-10.802922,33.805243,3,924100,Rumphi District
872261259789,-11.854277,33.607776,3,925496,Mzimba District
872261259789,-11.65304,34.053218,3,924730,Nkhata Bay District
872261259789,-16.025439,35.504015,1,925789,Mulanje
872261259789,-15.609587,34.522371,1,925596,Mwanza
872261259789,-15.385957,35.318801,1,923295,Zomba
872261259789,-14.816667,34.633333,1,924492,Ntcheu
872261259789,-13.9833333,33.7833333,1,927967,Lilongwe
872261259789,-9.716667,33.266667,1,235751,Chitipa
872261259789,-9.933333,33.933333,1,235715,Karonga
872261259789,-11.016667,33.866667,1,924102,Rumphi
872261259789,-11.9,33.6,1,925498,Mzimba
872261259789,-11.6,34.3,1,924732,Nkhata Bay
872261259799,,,8,927384,Republic of Malawi
872261259809,-9.927265,33.425412,3,235749,Chitipa District
872261259809,-15.430074,35.418291,3,923292,Zomba District
872261259809,-13.719594,34.401842,3,924053,Salima District
872261259809,-10.802922,33.805243,3,924100,Rumphi District
872261259809,-13.295737,33.907981,3,924490,Ntchisi District
872261259809,-12.804172,34.082977,3,924703,Nkhotakota District
872261259809,-14.75,34.75,3,925072,Ntcheu District
872261259809,-11.854277,33.607776,3,925496,Mzimba District
872261259809,-15.934395,35.499904,3,925788,Mulanje District
872261259809,-14.392955,35.346577,3,927245,Mangochi District
872261259809,,,8,927384,Republic of Malawi
872261259809,-14.945831,35.573667,3,927642,Machinga District
872261259809,-14.019624,33.68407,3,927964,Lilongwe District
872261259809,-10.111532,33.881507,3,928657,Karonga District
